id,name,category,description,contribution,website,thumbnail
1,TechCorp Japan,platinum,クラウドインフラストラクチャとAI技術の提供,AWS環境とGitHub Enterpriseライセンス,https://techcorp.jp,techcorp.jpg
2,DevTools Inc,gold,開発ツールとCI/CDパイプラインの支援,JetBrains製品ライセンスとDocker環境,https://devtools.com,devtools.jpg
3,StartupHub,gold,スタートアップエコシステムとの連携,メンタリングプログラムとピッチ機会,https://startuphub.com,startuphub.jpg
4,Design Studio,silver,UI/UXデザインコンサルティング,Figmaライセンスとデザインレビュー,https://designstudio.com,designstudio.jpg
5,Code Academy,silver,技術教育とトレーニング支援,勉強会講師派遣と教材提供,https://codeacademy.com,codeacademy.jpg
6,Innovation Lab,partner,研究開発における技術協力,共同研究プロジェクトと技術アドバイス,https://innovationlab.com,innovationlab.jpg
7,CareerSupport,advertising,就職活動を支援する人材サービス,就活セミナーと企業説明会の開催,https://careersupport.com,careersupport.jpg
8,StudentCard,advertising,学生専用クレジットカードとキャッシュレス決済,学生向け特典とポイントサービス,https://studentcard.com,studentcard.jpg
9,OnlineLearning Pro,advertising,プログラミング・デザイン学習プラットフォーム,無料コースとスキルアップ支援,https://onlinelearning.com,onlinelearning.jpg
10,InternshipHub,advertising,インターンシップマッチングサービス,長期・短期インターンシップ紹介,https://internshiphub.com,internshiphub.jpg
11,StudySpace,advertising,オンライン家庭教師・個別指導サービス,大学受験対策と資格試験サポート,https://studyspace.com,studyspace.jpg
12,StudentLife App,advertising,学生向けライフスタイルアプリとサービス,割引クーポンと学生特典情報,https://studentlife.com,studentlife.jpg 
