id,title,description,category,date,location,thumbnail
1,第1回 UAF ハッカソン,全国の大学生が集まる3日間のハッカソンイベント,collaboration,2024-03-15,東京,hackathon-1.jpg
2,React Native 勉強会,モバイルアプリ開発の基礎から応用まで,education,2024-02-20,オンライン,workshop-react.jpg
3,大学アプリUI/UX改善プロジェクト,複数大学のアプリのユーザビリティ向上,development,2024-01-10,大阪,ux-project.jpg
4,新入生向けアプリ開発講座,プログラミング初心者のためのワークショップ,education,2024-04-05,福岡,beginner-workshop.jpg
5,大学間API連携プロジェクト,各大学のシステム連携を促進する技術開発,collaboration,2024-02-01,オンライン,api-project.jpg
6,学生開発者ピッチコンテスト,優秀なアプリアイデアを競うコンテスト,networking,2024-05-20,名古屋,pitch-contest.jpg
7,大学生交流ミートアップ,異なる大学の開発者同士の交流イベント,networking,2024-06-10,京都,meetup.jpg
8,技術コンサルティングセッション,各大学開発チームへの個別技術支援,development,2024-07-05,オンライン,consulting.jpg
9,フロントエンド勉強会,最新のWebフロントエンド技術を学習,education,2024-08-15,横浜,frontend-workshop.jpg
10,共同プロダクト開発プロジェクト,複数大学が連携した新サービスの開発,collaboration,2024-09-01,東京,collaboration-project.jpg 
